Trainデータ数: 13703
Testデータ数: 621
Epoch 212, Loss: 0.0288, Time: 34.33s
Epoch 213, Loss: 0.0287, Time: 36.30s
Epoch 214, Loss: 0.0284, Time: 36.73s
Epoch 215, Loss: 0.0285, Time: 34.79s
Epoch 216, Loss: 0.0281, Time: 35.55s
Epoch 217, Loss: 0.0282, Time: 34.93s
Epoch 218, Loss: 0.0281, Time: 34.57s
Epoch 219, Loss: 0.0279, Time: 34.54s
Epoch 220, Loss: 0.0278, Time: 34.64s
Epoch 221, Loss: 0.0276, Time: 34.39s
Epoch 222, Loss: 0.0274, Time: 35.09s
Epoch 223, Loss: 0.0272, Time: 33.97s
Epoch 224, Loss: 0.0273, Time: 34.07s
Epoch 225, Loss: 0.0268, Time: 35.49s
Epoch 226, Loss: 0.0267, Time: 35.23s
Epoch 227, Loss: 0.0265, Time: 35.17s
Epoch 228, Loss: 0.0267, Time: 34.67s
Epoch 229, Loss: 0.0263, Time: 36.03s
Epoch 230, Loss: 0.0263, Time: 34.83s
Epoch 231, Loss: 0.0260, Time: 35.19s
Epoch 232, Loss: 0.0260, Time: 35.03s
Epoch 233, Loss: 0.0259, Time: 34.05s
Epoch 234, Loss: 0.0254, Time: 35.32s
Epoch 235, Loss: 0.0255, Time: 35.51s
Epoch 236, Loss: 0.0256, Time: 33.98s
Epoch 237, Loss: 0.0252, Time: 34.52s
Epoch 238, Loss: 0.0251, Time: 34.63s
Epoch 239, Loss: 0.0250, Time: 35.67s
Epoch 240, Loss: 0.0249, Time: 34.96s
Epoch 241, Loss: 0.0248, Time: 35.20s
Epoch 242, Loss: 0.0248, Time: 35.41s
Epoch 243, Loss: 0.0246, Time: 35.16s
Epoch 244, Loss: 0.0246, Time: 34.58s
Epoch 245, Loss: 0.0244, Time: 35.45s
Epoch 246, Loss: 0.0242, Time: 34.58s
Epoch 247, Loss: 0.0240, Time: 35.08s
Epoch 248, Loss: 0.0241, Time: 35.30s
Epoch 249, Loss: 0.0239, Time: 33.46s
Epoch 250, Loss: 0.0237, Time: 35.07s
Epoch 251, Loss: 0.0236, Time: 35.17s
Epoch 252, Loss: 0.0237, Time: 34.58s
Epoch 253, Loss: 0.0235, Time: 34.63s
Epoch 254, Loss: 0.0233, Time: 35.46s
Epoch 255, Loss: 0.0234, Time: 34.39s
Epoch 256, Loss: 0.0231, Time: 33.76s
Epoch 257, Loss: 0.0230, Time: 34.91s
Epoch 258, Loss: 0.0230, Time: 35.10s
Epoch 259, Loss: 0.0229, Time: 36.47s
Epoch 260, Loss: 0.0227, Time: 33.86s
Epoch 261, Loss: 0.0227, Time: 35.17s
Epoch 262, Loss: 0.0228, Time: 34.47s
Epoch 263, Loss: 0.0224, Time: 35.09s
Epoch 264, Loss: 0.0224, Time: 35.20s
Epoch 265, Loss: 0.0222, Time: 35.65s
Epoch 266, Loss: 0.0222, Time: 36.02s
Epoch 267, Loss: 0.0219, Time: 34.76s
Epoch 268, Loss: 0.0223, Time: 35.09s
