Trainデータ数: 13703
Testデータ数: 621
Epoch 238, Loss: 0.0329, Time: 185.53s
Epoch 239, Loss: 0.0328, Time: 195.17s
Epoch 240, Loss: 0.0324, Time: 186.62s
Epoch 241, Loss: 0.0322, Time: 184.09s
Epoch 242, Loss: 0.0319, Time: 183.95s
Epoch 243, Loss: 0.0320, Time: 184.82s
Epoch 244, Loss: 0.0319, Time: 189.50s
Epoch 245, Loss: 0.0318, Time: 190.66s
Epoch 246, Loss: 0.0314, Time: 188.18s
Epoch 247, Loss: 0.0311, Time: 189.05s
Epoch 248, Loss: 0.0309, Time: 188.36s
Epoch 249, Loss: 0.0312, Time: 191.48s
Epoch 250, Loss: 0.0308, Time: 184.72s
Epoch 251, Loss: 0.0304, Time: 186.19s
Epoch 252, Loss: 0.0306, Time: 190.19s
Epoch 253, Loss: 0.0302, Time: 189.18s
Epoch 254, Loss: 0.0302, Time: 191.25s
Epoch 255, Loss: 0.0300, Time: 192.08s
Epoch 256, Loss: 0.0297, Time: 191.39s
Epoch 257, Loss: 0.0301, Time: 197.13s
Epoch 258, Loss: 0.0297, Time: 197.27s
Epoch 259, Loss: 0.0299, Time: 183.18s
Epoch 260, Loss: 0.0295, Time: 185.69s
Epoch 261, Loss: 0.0293, Time: 200.72s
Epoch 262, Loss: 0.0291, Time: 197.99s
Epoch 263, Loss: 0.0292, Time: 187.81s
Epoch 264, Loss: 0.0289, Time: 193.98s
Epoch 265, Loss: 0.0291, Time: 197.05s
Epoch 266, Loss: 0.0286, Time: 194.42s
Epoch 267, Loss: 0.0285, Time: 191.94s
Epoch 268, Loss: 0.0285, Time: 189.76s
Epoch 269, Loss: 0.0285, Time: 193.19s
Epoch 270, Loss: 0.0284, Time: 189.88s
Epoch 271, Loss: 0.0281, Time: 191.17s
Epoch 272, Loss: 0.0281, Time: 188.68s
Epoch 273, Loss: 0.0280, Time: 192.23s
Epoch 274, Loss: 0.0278, Time: 193.04s
Epoch 275, Loss: 0.0275, Time: 184.53s
Epoch 276, Loss: 0.0276, Time: 193.08s
Epoch 277, Loss: 0.0273, Time: 188.41s
Epoch 278, Loss: 0.0274, Time: 193.01s
Epoch 279, Loss: 0.0274, Time: 191.41s
Epoch 280, Loss: 0.0274, Time: 191.44s
Epoch 281, Loss: 0.0269, Time: 188.87s
Epoch 282, Loss: 0.0270, Time: 184.86s
Epoch 283, Loss: 0.0267, Time: 192.87s
Epoch 284, Loss: 0.0266, Time: 191.49s
Epoch 285, Loss: 0.0266, Time: 190.14s
Epoch 286, Loss: 0.0265, Time: 187.30s
Epoch 287, Loss: 0.0262, Time: 186.98s
Epoch 288, Loss: 0.0264, Time: 191.66s
Epoch 289, Loss: 0.0262, Time: 173.31s
Epoch 290, Loss: 0.0257, Time: 202.44s
Epoch 291, Loss: 0.0259, Time: 202.94s
Epoch 292, Loss: 0.0259, Time: 196.96s
Epoch 293, Loss: 0.0257, Time: 189.14s
Epoch 294, Loss: 0.0257, Time: 191.02s
Epoch 295, Loss: 0.0257, Time: 190.26s
Epoch 296, Loss: 0.0255, Time: 190.90s
Epoch 297, Loss: 0.0252, Time: 191.10s
Epoch 298, Loss: 0.0251, Time: 184.49s
Epoch 299, Loss: 0.0255, Time: 189.86s
Epoch 300, Loss: 0.0248, Time: 189.83s
モデルを保存しました。

==== Testデータセット評価 ====
平均配列回収率 (Recall): 0.3484
平均グローバルアライメントスコア (Identity): 0.4499
平均ローカルアライメントスコア (Identity): 0.7154

==== Trainデータセット評価 ====
平均配列回収率 (Recall): 0.5358
平均グローバルアライメントスコア (Identity): 0.5259
平均ローカルアライメントスコア (Identity): 0.9204
